P1	P2	P4	P6	P7	P3	P5	P8	P9	P10	TOTAL	gender	age	source	country
2	2	2	2	2	2	3	3	3	3	24	2	40	3	US
3	3	2	2	2	3	2	3	2	3	25	1	18	3	PT
1	2	2	0	0	1	0	0	0	0	6	1	21	1	US
1	1	2	0	1	0	1	2	0	0	8	2	22	1	GB
2	2	3	2	2	3	3	3	1	3	24	2	16	3	IN
2	1	0	0	0	0	1	0	0	0	4	2	21	1	AU
3	3	2	2	2	3	3	3	1	2	24	1	24	3	TH
3	3	2	2	2	0	0	0	1	1	14	1	28	3	IL
3	2	2	2	2	3	2	2	2	2	22	2	24	3	IN
2	3	2	1	2	1	2	0	1	2	16	2	41	1	US
2	2	2	1	1	1	0	0	0	0	9	2	23	3	US
2	3	2	2	2	3	3	3	3	3	26	1	49	3	GB
1	1	2	1	1	2	0	1	0	1	10	2	21	1	MY
2	2	1	1	0	0	1	1	0	1	9	1	23	3	US
1	2	2	1	1	2	1	1	1	0	12	2	24	1	GB
2	3	1	0	1	1	1	0	0	1	10	2	39	3	DE
3	2	2	2	2	2	1	1	2	2	19	2	45	3	US
2	2	3	3	3	2	2	2	1	2	22	2	68	1	US
3	3	3	2	2	2	2	1	0	2	20	2	40	1	US
3	3	3	3	3	3	3	3	3	3	30	1	23	3	US
3	3	1	2	2	3	2	2	3	2	23	1	48	3	US
1	2	1	0	0	0	1	2	0	0	7	2	18	1	US
1	2	1	0	1	2	2	0	1	1	11	1	40	3	GB
1	1	1	0	1	1	1	0	1	0	7	2	24	3	US
2	3	2	2	3	2	3	1	2	3	23	2	50	3	EU
3	3	2	2	2	2	2	1	1	2	20	2	34	1	GB
3	2	2	2	1	2	2	2	2	2	20	1	30	1	CH
1	2	2	0	0	1	1	1	1	1	10	2	26	3	AU
2	2	3	2	2	2	2	2	1	2	20	2	34	1	US
1	0	2	0	0	1	1	1	0	1	7	2	26	1	US
2	3	3	2	2	2	3	1	2	2	22	2	18	3	US
3	3	2	2	3	3	3	3	1	3	26	2	32	3	AE
1	1	2	1	0	0	1	1	1	0	8	2	17	1	US
2	3	1	2	0	2	2	0	1	2	15	2	25	3	US
3	3	2	2	1	2	2	1	3	3	22	2	52	1	FR
2	3	2	2	0	1	1	2	1	2	16	1	31	3	US
2	2	3	2	2	3	2	2	2	2	22	2	14	1	US
2	2	2	3	3	2	2	2	1	2	21	1	23	3	GB
2	2	1	1	2	1	1	1	0	1	12	1	65	1	US
1	1	1	1	1	1	1	0	0	0	7	2	23	1	CH
2	3	2	2	3	2	2	2	3	2	23	2	38	3	GB
2	2	2	1	1	1	1	1	1	1	13	1	41	3	US
3	3	3	2	2	3	2	2	1	2	23	1	41	3	RO
3	2	2	2	2	3	1	2	1	1	19	1	31	3	PL
0	0	2	0	0	3	1	0	3	3	12	2	19	3	US
3	3	2	2	1	2	2	1	1	2	19	2	23	3	US
3	3	3	3	2	3	3	3	1	3	27	2	33	3	CA
2	2	2	1	1	1	2	1	1	1	14	1	44	1	AU
3	3	2	3	3	3	2	1	2	2	24	2	18	3	US
1	2	2	0	0	1	0	2	0	0	8	1	22	3	SE
3	2	3	2	2	2	2	2	1	1	20	2	23	1	BR
1	2	0	1	0	1	2	0	0	0	7	2	19	3	US
2	2	3	1	2	2	1	0	3	2	18	2	30	1	US
3	3	2	1	1	1	1	2	0	1	15	1	26	1	CN
3	3	3	3	3	2	3	2	3	3	28	2	27	3	CA
2	2	2	2	2	2	2	1	2	3	20	2	18	3	US
2	2	1	2	1	1	1	1	1	1	13	1	25	1	GB
2	2	3	1	0	1	2	1	0	0	12	2	45	1	US
1	1	1	1	1	0	2	0	0	0	7	2	34	3	GB
2	3	2	2	2	2	2	0	1	1	17	2	24	3	US
2	1	1	1	1	1	0	0	0	0	7	1	40	1	NO
3	3	3	3	1	3	2	3	3	3	27	1	18	1	US
2	2	3	1	1	2	2	1	2	3	19	1	30	3	PE
2	2	2	1	2	0	0	0	0	1	10	1	26	3	US
0	1	1	0	0	1	0	0	0	0	3	1	20	1	US
2	2	1	2	1	1	2	0	2	2	15	1	57	1	GB
3	3	3	3	3	2	3	3	3	3	29	0	0	3	CA
3	3	3	3	3	3	3	3	3	3	30	1	49	1	IN
3	3	2	3	3	3	3	3	3	3	29	2	34	3	FR
2	3	3	1	0	2	1	0	0	1	13	2	28	3	US
3	3	3	3	2	3	3	3	2	2	27	2	53	1	US
3	3	3	2	3	3	2	3	1	2	25	1	36	3	CL
2	1	2	1	1	2	1	2	1	1	14	1	15	1	US
1	2	1	0	1	0	0	0	0	1	6	2	53	1	IN
1	1	1	1	1	0	1	1	0	0	7	2	17	1	GB
3	3	3	2	2	3	3	2	1	0	22	1	18	3	AU
3	3	2	3	3	3	3	3	2	3	28	1	60	1	AU
3	3	2	2	3	2	1	3	2	3	24	2	52	3	GB
3	3	3	3	3	3	3	3	3	3	30	1	25	1	US
0	1	1	0	0	0	0	2	0	0	4	2	26	1	GB
2	2	3	2	1	2	2	2	2	3	21	2	62	3	US
2	1	1	1	2	2	1	0	1	1	12	2	33	3	US
2	2	2	2	2	2	2	1	2	1	18	2	20	3	US
1	2	2	1	1	1	2	1	1	0	12	2	38	3	US
2	2	2	3	2	2	2	1	2	1	19	2	22	1	MY
2	2	2	2	2	3	3	3	2	2	23	2	22	3	CA
1	1	2	0	0	0	0	0	0	0	4	1	40	3	US
0	1	1	1	1	1	0	1	0	0	6	1	27	3	US
3	2	2	2	2	1	1	2	1	1	17	2	14	1	ID
2	2	2	3	2	3	2	3	3	2	24	1	39	1	NL
3	3	3	3	1	3	3	3	3	1	26	1	25	3	GB
3	3	3	3	3	3	3	3	3	3	30	2	19	3	GB
3	3	2	2	2	2	2	2	1	1	20	2	35	3	GB
3	3	3	2	2	3	3	2	1	1	23	1	63	1	NL
1	2	2	2	2	2	2	1	0	1	15	1	46	3	GB
3	3	2	2	2	2	3	0	1	2	20	1	32	3	US
1	2	1	0	0	1	2	1	1	1	10	2	25	3	US
0	0	3	1	1	0	1	1	2	3	12	2	27	3	DE
2	3	3	2	2	2	3	1	1	1	20	2	27	3	US
0	1	1	0	0	0	0	0	0	0	2	2	39	1	US
3	3	2	3	2	2	3	3	2	3	26	2	19	1	US
2	2	3	2	2	2	2	1	1	2	19	2	62	1	US
1	1	0	1	1	1	1	0	0	0	6	2	36	3	CA
2	2	2	3	3	2	2	1	1	2	20	1	15	1	AU
2	2	2	2	2	2	2	1	2	3	20	2	36	3	AE
2	2	2	1	2	1	1	1	1	1	14	1	55	3	CA
2	2	2	2	1	2	2	1	1	1	16	2	18	1	IE
1	3	2	2	2	2	1	2	0	0	15	1	19	1	IE
1	1	1	0	0	1	1	0	0	0	5	2	38	3	GB
2	2	2	2	2	1	2	1	1	1	16	2	38	3	GB
0	2	1	0	0	0	1	0	0	0	4	2	25	3	US
2	2	1	2	2	1	2	0	0	0	12	2	18	1	US
0	0	1	1	1	1	0	1	0	0	5	2	14	3	US
2	2	2	2	1	2	1	3	0	3	18	1	64	1	US
2	2	2	1	1	2	2	1	1	1	15	2	43	1	CA
3	3	3	2	2	2	2	1	1	2	21	2	43	1	US
1	2	1	2	2	2	2	1	2	1	16	1	24	1	GB
2	2	2	2	1	2	2	2	3	3	21	2	35	3	US
2	2	2	2	2	3	2	2	2	3	22	1	17	3	CA
2	2	2	0	0	1	1	1	0	0	9	1	24	1	US
3	3	3	3	3	3	3	3	1	2	27	1	16	1	GB
3	3	3	3	3	3	3	3	3	3	30	2	59	1	US
3	3	3	2	2	3	3	3	2	2	26	1	25	1	US
1	1	2	1	0	2	1	1	1	3	13	1	31	1	PL
3	3	2	1	0	2	0	1	0	1	13	1	23	3	GB
3	3	3	2	2	3	3	1	2	3	25	1	18	3	EG
3	3	2	3	2	2	3	3	3	3	27	1	26	3	US
3	2	2	2	2	2	2	2	2	2	21	2	27	1	AT
0	2	1	0	0	1	1	0	0	0	5	2	39	1	US
3	2	1	2	1	2	2	0	1	1	15	1	28	1	RO
2	2	2	1	1	0	1	1	0	0	10	2	42	3	CH
3	2	3	0	1	2	2	1	2	1	17	1	21	1	GB
1	2	2	2	1	2	1	0	1	1	13	1	23	1	US
2	2	2	1	1	1	1	1	0	0	11	2	25	1	MY
3	3	2	2	2	3	2	2	1	2	22	1	40	3	US
1	2	2	1	0	1	2	1	0	1	11	2	19	1	US
3	2	2	2	2	1	1	3	2	3	21	2	19	1	US
1	1	1	1	1	1	1	1	0	0	8	2	25	3	CA
3	3	3	3	2	3	3	3	1	3	27	2	48	1	US
