"","Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","TIPI1","TIPI2","TIPI3","TIPI4","TIPI5","TIPI6","TIPI7","TIPI8","TIPI9","TIPI10","VCL1","VCL2","VCL3","VCL4","VCL5","VCL6","VCL7","VCL8","VCL9","VCL10","VCL11","VCL12","VCL13","VCL14","VCL15","VCL16","testelapse","T1"
"70212",5,5,5,5,3,5,1,5,1,1,5,5,5,1,5,4,3,5,1,5,4,3,7,1,7,1,6,1,5,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,"565",75
"70213",1,2,3,3,3,3,3,2,1,3,4,2,3,4,3,3,4,3,5,2,6,4,6,5,7,5,4,5,5,5,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"157",57
"70214",1,1,2,1,2,1,4,1,1,2,5,2,1,3,3,5,4,4,4,1,2,3,7,2,6,2,6,7,4,4,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,"287",48
"70215",1,1,2,2,3,2,1,2,2,2,4,1,2,3,3,2,2,4,4,1,5,5,3,3,6,3,7,3,5,6,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,"140",44
"70216",2,4,2,2,3,2,2,2,1,1,3,2,1,3,3,2,2,2,4,2,1,6,7,4,5,1,7,4,6,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"140",45
"70217",2,1,2,4,3,1,2,4,1,1,4,1,2,4,4,4,5,3,5,1,3,3,5,2,7,1,7,5,4,7,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,"153",54
"70218",1,1,3,1,4,3,4,2,1,2,5,2,1,2,1,4,3,3,4,2,5,1,6,5,7,3,4,3,4,7,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,"275",49
"70219",5,5,4,3,4,5,4,5,3,2,4,5,4,5,5,5,5,5,3,3,1,7,7,4,5,2,2,7,4,7,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"270",84
"70220",1,1,1,2,1,1,4,2,1,2,4,2,1,4,3,4,2,4,5,1,5,3,5,5,6,6,5,6,4,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"182",46
"70221",5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,7,7,7,7,1,6,3,3,7,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,"289",96
"70222",5,5,4,5,4,3,5,5,3,4,5,5,1,4,4,5,3,5,5,1,1,1,6,1,3,1,1,7,4,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"152",81
"70223",1,1,5,1,4,1,2,2,1,1,3,4,3,3,3,4,5,2,5,3,7,7,5,3,7,7,5,3,6,7,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,"186",54
"70224",5,3,5,5,5,5,5,1,5,5,5,5,5,5,4,3,5,4,5,5,4,1,7,7,4,1,1,7,7,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,"266",90
"70225",5,5,1,1,5,4,4,4,1,4,4,5,4,2,5,4,5,4,4,1,6,7,7,7,7,1,6,7,7,7,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"229",72
"70226",2,3,2,4,4,4,4,4,1,2,4,2,4,4,3,2,4,3,4,3,4,4,5,2,6,1,7,3,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"176",63
"70227",1,3,1,1,3,2,1,1,1,1,5,1,1,4,4,2,3,1,4,1,4,3,6,5,7,2,7,3,6,7,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,"168",41
"70228",5,4,5,5,3,5,5,5,4,5,5,5,3,5,4,5,5,5,5,1,5,2,2,7,7,3,6,5,5,7,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,"207",89
"70229",4,5,5,5,5,2,5,5,5,5,5,5,5,3,4,5,3,5,5,5,1,7,5,3,1,1,5,3,5,2,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,"1164",91
"70230",2,4,4,3,5,2,3,4,3,1,3,4,2,5,3,2,1,4,1,1,2,6,6,4,4,5,6,4,3,3,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,"348",57
"70231",5,4,3,5,4,5,5,4,4,5,5,4,3,5,5,5,4,3,4,3,1,4,7,4,7,1,4,5,4,6,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,"131",85
"70232",2,4,1,2,5,2,2,1,1,4,2,5,5,5,4,1,5,5,5,3,3,3,7,2,3,1,5,7,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"279",64
"70233",4,5,4,5,4,4,5,5,3,4,5,5,5,4,5,2,5,5,5,2,5,2,7,5,7,2,6,1,6,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"95",86
"70234",3,2,2,3,2,5,4,4,1,1,5,4,1,5,3,2,3,4,5,1,5,3,7,1,7,2,6,2,3,7,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"244",60
"70235",2,5,3,5,5,2,5,5,1,2,4,4,4,5,4,5,5,1,5,1,3,2,7,3,7,2,3,3,1,7,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"172",73
"70236",3,2,2,2,3,2,4,2,1,2,2,1,4,1,3,2,4,2,3,1,6,7,6,2,7,2,6,7,7,6,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,"186",46
"70237",5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,1,3,6,2,6,2,5,5,6,7,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,"86",91
"70238",4,2,5,3,4,5,5,5,3,2,5,5,1,5,3,5,5,1,2,4,3,7,7,6,7,2,6,7,6,6,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,"358",74
"70239",4,4,4,2,4,3,4,2,2,3,5,5,5,1,2,2,4,2,5,1,6,1,7,4,7,5,6,1,3,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"117",64
"70240",4,3,5,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,3,6,5,5,1,5,4,5,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"148",82
"70241",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,5,5,5,6,5,2,7,6,7,2,7,7,7,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,"52",94
"70242",2,1,3,4,3,5,4,1,3,1,5,4,4,5,4,2,3,4,5,3,5,2,7,4,7,5,6,5,4,5,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,"201",66
